Nr,Instrument (nume scurt),URL oficial,Piata,Data verificarii,Metoda
1,Evaluare preoperatorie pulmonară,https://mediately.co/ro/tools/LCAssesmentForSurgery,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
2,Stadializare ganglioni NSCLC,https://mediately.co/ro/tools/LRNSCLCalgorithm,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
3,APACHE II,https://mediately.co/ro/tools/APACHE2,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
4,Calciu corectat (Payne),https://mediately.co/ro/tools/CalciumCorrection,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
5,Suprafață cutanată afectată,https://mediately.co/ro/tools/AffectedBSA,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
6,Vârstă vasculară,https://mediately.co/ro/tools/VascularAgeVeryHigh,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
7,eGFR: CKD-EPI și MDRD,https://mediately.co/ro/tools/GfrCdkMdrd,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
8,FRAX,https://mediately.co/ro/tools/FRAX,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
9,Conversie HbA1c,https://mediately.co/ro/tools/HbA1cCalc,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
10,HOMA-IR,https://mediately.co/ro/tools/HOMAInsResist,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
11,IMC,https://mediately.co/ro/tools/BMI,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
12,QTc,https://mediately.co/ro/tools/QTc,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
13,NEWS2,https://mediately.co/ro/tools/NEWS2,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
14,Dozare ciprofloxacină,https://mediately.co/ro/tools/CiprofloxacinDosing,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
15,Dozare enoxaparină,https://mediately.co/ro/tools/NewClexaneDosing,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
16,qSOFA,https://mediately.co/ro/tools/QSOFA,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
17,SCORE2 și SCORE2-OP,https://mediately.co/ro/tools/SCORE2-NEW,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
18,Suprafață corporală (BSA),https://mediately.co/ro/tools/BSA,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
19,LDL și non-HDL,https://mediately.co/ro/tools/CalculatedLDL-C,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
20,Ghiduri canadiene pentru scleroză multiplă,https://mediately.co/ro/tools/CanadianGuidelinesMS,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
21,CAT,https://mediately.co/ro/tools/CAT,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
22,CDEIS,https://mediately.co/ro/tools/CDEIS,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
23,MDQ,https://mediately.co/ro/tools/MoodDisorderQuestionnaire,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
24,MPN-SAF TSS,https://mediately.co/ro/tools/MPN-SAF,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
25,NYHA,https://mediately.co/ro/tools/NYHA,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
26,TNM cancer pulmonar,https://mediately.co/ro/tools/LCTNMClassification,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
27,TNM cancer mamar,https://mediately.co/ro/tools/BreastCancerTNM,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
28,Clearance creatinină,https://mediately.co/ro/tools/CreatinineClearance,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
29,Colecție dermatită atopică,https://mediately.co/ro/tools/AtopicDermatitisCorner,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
30,CPS+EG,https://mediately.co/ro/tools/CPSEGBreastCancer,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
31,Criterii McDonald,https://mediately.co/ro/tools/McDonaldMS,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
32,Răspuns iMWG în mielom,https://mediately.co/ro/tools/IMWGMMResponse,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
33,Data estimată a nașterii,https://mediately.co/ro/tools/EDD,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
34,Simptome subiective dermatită atopică,https://mediately.co/ro/tools/NRSforAD,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
35,Hipercolesterolemie familială (Dutch Lipid),https://mediately.co/ro/tools/FH,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
36,DLQI,https://mediately.co/ro/tools/DLQI,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
37,Dozare amoxicilină/clavulanat,https://mediately.co/ro/tools/AmoxClavDosing,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
38,Dozare azitromicină,https://mediately.co/ro/tools/AzithromycinDosing,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
39,Dozare cefiximă,https://mediately.co/ro/tools/CefiximeDosing,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
40,Dozare co-trimoxazol,https://mediately.co/ro/tools/SulfTrimDosingRO,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
41,Durere inflamatorie de spate,https://mediately.co/ro/tools/IBP,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
42,EASI,https://mediately.co/ro/tools/EASI,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
43,ESIF,https://mediately.co/ro/tools/ESIF,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
44,Răspuns la tratament LLC,https://mediately.co/ro/tools/iwCLLTreatmentResponse,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
45,Geneva pentru profilaxia TEV,https://mediately.co/ro/tools/GenevaProphylaxis,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
46,GRACE,https://mediately.co/ro/tools/GRACE,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
47,HAS-BLED,https://mediately.co/ro/tools/HAS-BLED,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
48,ICE,https://mediately.co/ro/tools/TecvayliAdverseEvents+ICElink,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
49,"Greutate ideală, ajustată și slabă",https://mediately.co/ro/tools/BodyWeights,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
50,IMDC,https://mediately.co/ro/tools/IMDCModel,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
51,CDAI Crohn,https://mediately.co/ro/tools/CDAICrohn,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
52,CLL-IPI,https://mediately.co/ro/tools/CLL-IPI,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
53,IPSS,https://mediately.co/ro/tools/IPSS,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
54,Karnofsky,https://mediately.co/ro/tools/Karnofsky,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
55,Lung-molGPA și DS-GPA,https://mediately.co/ro/tools/LungCancerGPA,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
56,MAGGIC,https://mediately.co/ro/tools/Maggic,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
57,Algoritmi hipertensiune arterială pulmonară,https://mediately.co/ro/tools/PAHalgorithms,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
58,Mayo endoscopic,https://mediately.co/ro/tools/MayoEndoscopic,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
59,MEWS,https://mediately.co/ro/tools/MEWS,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
60,MIDAS,https://mediately.co/ro/tools/MIDAS,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
61,mMRC,https://mediately.co/ro/tools/mMRC,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
62,NRS-2002,https://mediately.co/ro/tools/NRS2002,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
63,PaO2/FiO2 (Horovitz),https://mediately.co/ro/tools/HorovitzLung,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
64,PASI,https://mediately.co/ro/tools/PASI,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
65,PESI,https://mediately.co/ro/tools/PESI,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
66,PREDICT cancer mamar,https://mediately.co/ro/tools/BreastCancerPredict,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
67,Predictori policitemia vera,https://mediately.co/ro/tools/PVPredictors,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
68,PSSI,https://mediately.co/ro/tools/PSSI,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
69,Tratament NSCLC locoregional,https://mediately.co/ro/tools/LocallyAdvancedNSCLC,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
70,Wells pentru embolie pulmonară,https://mediately.co/ro/tools/Wells,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
71,Roma IV pentru IBS,https://mediately.co/ro/tools/Rome4IBS,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
72,Rutgeerts,https://mediately.co/ro/tools/RutgeertsScore,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
73,EDSS,https://mediately.co/ro/tools/EDSS,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
74,Glasgow (GCS),https://mediately.co/ro/tools/GCS,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
75,Hamilton (HDRS/HAM-D),https://mediately.co/ro/tools/HDRS,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
76,MADRS,https://mediately.co/ro/tools/MADRS,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
77,NIHSS,https://mediately.co/ro/tools/NIHSS,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
78,Rankin modificat,https://mediately.co/ro/tools/MRS,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
79,CHA2DS2-VA,https://mediately.co/ro/tools/CHA2DS2-VA,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
80,CURB-65,https://mediately.co/ro/tools/CURB-65,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
